1;frontend.messages.ru;;;1298718460;1327314749;
2;frontend.mgI18nAdmin.ru;;;1298718464;1324909247;
3;frontend.sf_admin.ru;;;1298733705;1327314749;
4;frontend.messages.en;;;1298803721;1327314608;
5;frontend.mgI18nAdmin.en;;;1298803748;1324909194;
6;frontend.sf_admin.en;;;1298891722;1326266308;
7;frontend.sf_admin.uploads;;;1299850897;1299851759;
8;frontend.messages.uploads;;;1299850897;1299851759;
9;frontend.mgI18nAdmin.uploads;;;1299850918;1299851610;
10;frontend.sf_guard.ru;;;1299923709;1326901758;
11;frontend.sf_guard.en;;;1299929327;1327169265;
12;backend.messages.ru;;;1301576508;;
13;backend.messages.en;;;1301576508;;
